Destination ID,Destination,Country,Popular Season
QGN,Paris,Spain,Summer
LKF,Tokyo,France,Summer
VAI,Barcelona,United Kingdom,Spring
NGI,Paris,France,Winter
BHA,Tokyo,Spain,Winter
YWD,Barcelona,France,Autumn
NDG,Barcelona,France,Autumn
BSN,Rome,Spain,Winter
RHN,Rome,France,Autumn
JKP,London,Japan,Autumn
YHW,Tokyo,France,Autumn
AMK,Paris,Japan,Autumn
WXP,Paris,Spain,Summer
IRH,London,Japan,Summer
WUH,London,Japan,Spring
ZTF,Barcelona,France,Winter
FRG,Barcelona,United Kingdom,Summer
YUY,Paris,Spain,Autumn
IFZ,London,Japan,Summer
QET,Paris,United Kingdom,Summer
WEM,Barcelona,France,Autumn
GHO,Barcelona,France,Summer
VGQ,Paris,Italy,Spring
ORA,Barcelona,France,Summer
OPX,Tokyo,Spain,Winter
RAE,London,United Kingdom,Spring
VBQ,Tokyo,Italy,Winter
EGK,Barcelona,Spain,Winter
LML,Tokyo,United Kingdom,Summer
HOG,Rome,United Kingdom,Autumn
ODT,Barcelona,Japan,Autumn
KTE,Barcelona,France,Summer
SNV,London,United Kingdom,Autumn
QPU,Paris,Spain,Spring
ZLO,Rome,Japan,Winter
FFR,Barcelona,Italy,Winter
TDZ,Tokyo,United Kingdom,Autumn
SEA,Paris,Spain,Autumn
DUS,London,France,Spring
UWS,Barcelona,United Kingdom,Winter
CVQ,Barcelona,Italy,Summer
SSK,London,France,Autumn
LRY,London,United Kingdom,Summer
FLA,London,United Kingdom,Winter
KHL,Tokyo,Italy,Spring
XER,Tokyo,Italy,Summer
BNA,London,Italy,Autumn
AQT,London,Spain,Spring
KQU,Tokyo,Japan,Spring
GJJ,Paris,United Kingdom,Summer
GDO,Paris,Spain,Summer
ZDJ,Tokyo,Italy,Spring
CCO,Tokyo,United Kingdom,Winter
NAQ,Barcelona,United Kingdom,Winter
VYF,Paris,France,Spring
WJU,Paris,United Kingdom,Autumn
YSO,Rome,Italy,Spring
ABW,Barcelona,France,Summer
BPX,Tokyo,Spain,Winter
SSR,Rome,Japan,Autumn
OBD,Paris,France,Summer
BXY,London,Japan,Spring
PPM,Rome,United Kingdom,Spring
CND,London,United Kingdom,Spring
UYD,Tokyo,Japan,Spring
VES,London,Japan,Summer
EEL,London,United Kingdom,Summer
DEQ,London,France,Spring
DHD,London,Italy,Summer
ZIO,Rome,United Kingdom,Autumn
IFA,Paris,Italy,Summer
GGU,Barcelona,Spain,Summer
JJN,Paris,Spain,Summer
WQD,Tokyo,France,Summer
LMV,Paris,France,Autumn
VTR,Paris,Italy,Spring
QII,London,Japan,Autumn
TYX,Rome,France,Spring
ZTQ,London,United Kingdom,Spring
VOJ,Paris,France,Summer
MNI,Rome,Japan,Winter
COH,Rome,Italy,Autumn
MVK,Tokyo,United Kingdom,Spring
SFR,Paris,Spain,Autumn
EAX,London,Japan,Autumn
YQM,Tokyo,Italy,Spring
AYQ,Paris,Japan,Summer
LIR,Paris,Japan,Autumn
RCK,Paris,France,Autumn
TDR,Tokyo,Italy,Winter
JGN,Rome,France,Summer
SFQ,London,Italy,Summer
AVY,Paris,Italy,Summer
BSB,Paris,Spain,Autumn
UBO,London,France,Autumn
AAD,Tokyo,United Kingdom,Spring
WRT,Barcelona,Spain,Spring
OIW,London,France,Autumn
NCV,Rome,France,Spring
YNR,Tokyo,France,Summer
MVW,Barcelona,Japan,Summer
HJN,Tokyo,Italy,Autumn
ZCG,London,Italy,Winter
XJD,Rome,Japan,Summer
KEN,London,Spain,Winter
QPN,Rome,Italy,Winter
GLK,Tokyo,Japan,Winter
WST,London,Japan,Autumn
FVL,Paris,Italy,Summer
LTN,Barcelona,Italy,Winter
ZGU,Tokyo,Spain,Autumn
OLH,Rome,France,Summer
HMB,Tokyo,Spain,Winter
BLX,Barcelona,Spain,Autumn
ZZF,Barcelona,Japan,Autumn
JSL,Paris,United Kingdom,Autumn
RAZ,Rome,Italy,Autumn
VCQ,Paris,France,Winter
JAG,Paris,Japan,Summer
VHF,Rome,United Kingdom,Autumn
UYV,Paris,Japan,Summer
YKH,Tokyo,France,Winter
IMX,Paris,Japan,Winter
DAQ,Tokyo,France,Winter
JEP,Paris,Italy,Spring
ETS,Paris,Spain,Spring
IRY,Tokyo,Japan,Summer
ODI,Rome,United Kingdom,Autumn
WMD,Barcelona,Italy,Spring
WFM,Paris,France,Spring
KVN,London,Italy,Summer
KUV,Paris,United Kingdom,Winter
TXY,Paris,France,Autumn
KZJ,Paris,France,Spring
